CÓDIGO,UF,MUNICÍPIO
412545,PARANÁ,SÃO JOSÉ DAS PALMEIRAS
412550,PARANÁ,SÃO JOSÉ DOS PINHAIS
412555,PARANÁ,SÃO MANOEL DO PARANÁ
412560,PARANÁ,SÃO MATEUS DO SUL
412570,PARANÁ,SÃO MIGUEL DO IGUAÇU
412575,PARANÁ,SÃO PEDRO DO IGUAÇU
412580,PARANÁ,SÃO PEDRO DO IVAÍ
412590,PARANÁ,SÃO PEDRO DO PARANÁ
412600,PARANÁ,SÃO SEBASTIÃO DA AMOREIRA
412610,PARANÁ,SÃO TOMÉ
412620,PARANÁ,SAPOPEMA
412625,PARANÁ,SARANDI
412627,PARANÁ,SAUDADE DO IGUAÇU
412630,PARANÁ,SENGÉS
412635,PARANÁ,SERRANÓPOLIS DO IGUAÇU
412640,PARANÁ,SERTANEJA
412650,PARANÁ,SERTANÓPOLIS
412660,PARANÁ,SIQUEIRA CAMPOS
412665,PARANÁ,SULINA
412667,PARANÁ,TAMARANA
412670,PARANÁ,TAMBOARA
412680,PARANÁ,TAPEJARA
412690,PARANÁ,TAPIRA
412700,PARANÁ,TEIXEIRA SOARES
412710,PARANÁ,TELÊMACO BORBA
412720,PARANÁ,TERRA BOA
412730,PARANÁ,TERRA RICA
412740,PARANÁ,TERRA ROXA
412750,PARANÁ,TIBAGI
412760,PARANÁ,TIJUCAS DO SUL
412770,PARANÁ,TOLEDO
412780,PARANÁ,TOMAZINA
412785,PARANÁ,TRÊS BARRAS DO PARANÁ
412788,PARANÁ,TUNAS DO PARANÁ
412790,PARANÁ,TUNEIRAS DO OESTE
412795,PARANÁ,TUPÃSSI
412796,PARANÁ,TURVO
412800,PARANÁ,UBIRATÃ
412810,PARANÁ,UMUARAMA
412820,PARANÁ,UNIÃO DA VITÓRIA
412830,PARANÁ,UNIFLOR
412840,PARANÁ,URAÍ
412850,PARANÁ,WENCESLAU BRAZ
412853,PARANÁ,VENTANIA
412855,PARANÁ,VERA CRUZ DO OESTE
412860,PARANÁ,VERÊ
412862,PARANÁ,ALTO PARAÍSO
412863,PARANÁ,DOUTOR ULYSSES
412865,PARANÁ,VIRMOND
